month,total_revenue
2016-01-01,62000.0
2016-02-01,54400.0
2016-03-01,49300.0
2016-04-01,51300.0
2016-05-01,43800.0
2016-06-01,27150.0
2016-07-01,23650.0
2016-08-01,57800.0
2016-09-01,71900.0
2016-10-01,35900.0
2016-11-01,38300.0
2016-12-01,41300.0
2017-01-01,29900.0
2017-02-01,22900.0
2017-03-01,10400.0
2017-04-01,14500.0
2017-05-01,15000.0
2017-06-01,11600.0
2017-07-01,44000.0
2017-08-01,46800.0
2017-09-01,11400.0
2017-10-01,6900.0
2017-11-01,6900.0
2017-12-01,13500.0
2018-01-01,15000.0
2018-02-01,11250.0
2018-03-01,11150.0
2018-04-01,9900.0
2018-05-01,5000.0
2018-06-01,7400.0
2018-07-01,33550.0
2018-08-01,42650.0
2018-09-01,67200.0
2018-10-01,70599.5
2018-11-01,63149.5
2018-12-01,106050.0
2019-01-01,82450.0
2019-02-01,106150.0
2019-03-01,95150.0
2019-04-01,44350.0
2019-05-01,183850.0
2019-06-01,382900.0
2019-07-01,495750.0
2019-08-01,410250.0
2019-09-01,354500.0
2019-10-01,456200.0
2019-11-01,519250.0
2019-12-01,561250.0
2020-01-01,589650.0
2020-02-01,589400.0
2020-03-01,491700.0
2020-04-01,397066.5
2020-05-01,402474.0
2020-06-01,422757.5
2020-07-01,483800.0
2020-08-01,457250.0
2020-09-01,449550.0
2020-10-01,496500.0
2020-11-01,469750.0
2020-12-01,709650.0
2021-01-01,823650.0
2021-02-01,657999.5
2021-03-01,645099.5
2021-04-01,570300.0
2021-05-01,284450.0
2021-06-01,141420.0
2021-07-01,93920.0
2021-08-01,1750.0
2021-09-01,111940.0
2021-10-01,162940.0
2021-11-01,54000.0
2021-12-01,171160.0
2022-01-01,174660.0
2022-02-01,6500.0
2022-03-01,15000.0
2022-04-01,52500.0
2022-05-01,241749.5
2022-06-01,611749.5
2022-07-01,658250.0
2022-08-01,598500.0
2022-09-01,746000.0
2022-10-01,849750.0
2022-11-01,859600.0
2022-12-01,836850.0
2023-01-01,1062250.0
2023-02-01,1013100.0
2023-03-01,753600.0
2023-04-01,718250.0
2023-05-01,720600.0
2023-06-01,521075.0
2023-07-01,285266.6666666666
2023-08-01,246627.38095238095
2023-09-01,265744.04761904763
2023-10-01,303786.8333333334
2023-11-01,287278.5
2023-12-01,354741.6666666666
2024-01-01,383135.4166666666
2024-02-01,307712.4375
2024-03-01,258924.9375
2024-04-01,232270.8125
2024-05-01,237115.4375
2024-06-01,272325.875
2024-07-01,285266.6666666666
2024-08-01,246627.38095238095
2024-09-01,265744.04761904763
2024-10-01,303786.8333333334
2024-11-01,287278.5
2024-12-01,354741.6666666666
2025-01-01,383135.4166666666
2025-02-01,290793.775
2025-03-01,326249.525
2025-04-01,443443.41500000004
2025-05-01,484064.23
2025-06-01,434488.495
2025-07-01,452182.195
2025-08-01,454913.65
2025-09-01,404001.55500000005
2025-10-01,495501.92000000004
2025-11-01,316100.0
2025-12-01,578639.47
2026-01-01,496000.0
2026-02-01,383788.8361111111
2026-03-01,266405.4472222222
2026-04-01,268882.2211111111
2026-05-01,352465.605
2026-06-01,343449.995
