month,total_revenue,patient_count,procedures
2016-01-01,62000.0,4,10
2016-02-01,46800.0,2,4
2016-03-01,51800.0,3,4
2016-04-01,50800.0,6,14
2016-05-01,36800.0,6,13
2016-06-01,17500.0,3,4
2016-07-01,29800.0,4,13
2016-08-01,85800.0,5,10
2016-09-01,58000.0,5,9
2016-10-01,13800.0,4,11
2016-11-01,62800.0,7,9
2016-12-01,19800.0,4,18
2017-01-01,40000.0,4,15
2017-02-01,5800.0,3,9
2017-03-01,15000.0,4,9
2017-04-01,14000.0,6,13
2017-05-01,16000.0,5,15
2017-06-01,7200.0,3,10
2017-07-01,80800.0,7,23
2017-08-01,12800.0,5,6
2017-09-01,10000.0,4,5
2017-10-01,3800.0,2,4
2017-11-01,10000.0,4,6
2017-12-01,17000.0,4,13
2018-01-01,13000.0,4,5
2018-02-01,9500.0,3,3
2018-03-01,12800.0,5,8
2018-04-01,7000.0,2,2
2018-05-01,3000.0,1,2
2018-06-01,11800.0,4,3
2018-08-01,30000.0,3,7
2018-09-01,104400.0,5,12
2018-10-01,36799.0,7,7
2018-11-01,89500.0,10,30
2018-12-01,122600.0,7,21
2019-01-01,42300.0,9,19
2019-02-01,170000.0,8,16
2019-03-01,20300.0,5,10
2019-04-01,68400.0,10,14
2019-05-01,299300.0,77,43
2019-06-01,466500.0,129,47
2019-07-01,525000.0,135,46
2019-08-01,295500.0,78,32
2019-09-01,413500.0,163,41
2019-10-01,498900.0,173,60
2019-11-01,539600.0,166,59
2019-12-01,582900.0,141,89
2020-01-01,596400.0,192,84
2020-02-01,582400.0,217,105
2020-03-01,401000.0,140,52
2020-04-01,393133.0,138,47
2020-05-01,411815.0,142,54
2020-06-01,433700.0,159,85
2020-07-01,533900.0,165,92
2020-08-01,380600.0,127,76
2020-09-01,518500.0,185,56
2020-10-01,474500.0,188,66
2020-11-01,465000.0,157,72
2020-12-01,954300.0,163,85
2021-01-01,693000.0,187,55
2021-02-01,622999.0,175,72
2021-03-01,667200.0,210,81
2021-04-01,473400.0,162,77
2021-05-01,95500.0,40,12
2021-07-01,500.0,1,1
2021-08-01,3000.0,1,1
2021-10-01,105000.0,3,1
2021-11-01,3000.0,1,1
2022-01-01,10000.0,1,1
2022-02-01,3000.0,1,1
2022-03-01,27000.0,3,1
2022-04-01,78000.0,45,7
2022-05-01,405499.0,181,54
2022-06-01,818000.0,241,40
2022-07-01,498500.0,207,49
2022-08-01,698500.0,229,52
2022-09-01,793500.0,216,94
2022-10-01,906000.0,308,116
2022-11-01,813200.0,285,116
2022-12-01,860500.0,256,75
2023-01-01,1264000.0,254,95
2023-02-01,762200.0,221,56
2023-03-01,745000.0,191,67
2023-04-01,691500.0,157,74
2023-05-01,749700.0,169,65
2025-02-01,391500.0,136,61
2025-03-01,410999.0,150,94
2025-04-01,475887.83,202,118
2025-05-01,492240.63,201,120
2025-06-01,376736.36,188,126
2025-07-01,527628.03,208,114
2025-08-01,382199.27,171,79
2025-09-01,425803.84,176,82
2025-10-01,565200.0,209,130
2025-11-01,67000.0,18,11
2025-12-01,1090278.92,33,6
2026-01-01,496000.0,20,4
2026-04-01,245500.0,25,4
2026-05-01,428400.0,23,4
