month,total_revenue
2016-01-01,62000.0
2016-02-01,46800.0
2016-03-01,51800.0
2016-04-01,50800.0
2016-05-01,36800.0
2016-06-01,17500.0
2016-07-01,29800.0
2016-08-01,85800.0
2016-09-01,58000.0
2016-10-01,13800.0
2016-11-01,62800.0
2016-12-01,19800.0
2017-01-01,40000.0
2017-02-01,5800.0
2017-03-01,15000.0
2017-04-01,14000.0
2017-05-01,16000.0
2017-06-01,7200.0
2017-07-01,80800.0
2017-08-01,12800.0
2017-09-01,10000.0
2017-10-01,3800.0
2017-11-01,10000.0
2017-12-01,17000.0
2018-01-01,13000.0
2018-02-01,9500.0
2018-03-01,12800.0
2018-04-01,7000.0
2018-05-01,3000.0
2018-06-01,11800.0
2018-08-01,30000.0
2018-09-01,104400.0
2018-10-01,36799.0
2018-11-01,89500.0
2018-12-01,122600.0
2019-01-01,42300.0
2019-02-01,170000.0
2019-03-01,20300.0
2019-04-01,68400.0
2019-05-01,299300.0
2019-06-01,466500.0
2019-07-01,525000.0
2019-08-01,295500.0
2019-09-01,413500.0
2019-10-01,498900.0
2019-11-01,539600.0
2019-12-01,582900.0
2020-01-01,596400.0
2020-02-01,582400.0
2020-03-01,401000.0
2020-04-01,393133.0
2020-05-01,411815.0
2020-06-01,433700.0
2020-07-01,533900.0
2020-08-01,380600.0
2020-09-01,518500.0
2020-10-01,474500.0
2020-11-01,465000.0
2020-12-01,954300.0
2021-01-01,693000.0
2021-02-01,622999.0
2021-03-01,667200.0
2021-04-01,473400.0
2021-05-01,95500.0
2021-07-01,500.0
2021-08-01,3000.0
2021-10-01,105000.0
2021-11-01,3000.0
2022-01-01,10000.0
2022-02-01,3000.0
2022-03-01,27000.0
2022-04-01,78000.0
2022-05-01,405499.0
2022-06-01,818000.0
2022-07-01,498500.0
2022-08-01,698500.0
2022-09-01,793500.0
2022-10-01,906000.0
2022-11-01,813200.0
2022-12-01,860500.0
2023-01-01,1264000.0
2023-02-01,762200.0
2023-03-01,745000.0
2023-04-01,691500.0
2023-05-01,749700.0
2025-02-01,391500.0
2025-03-01,410999.0
2025-04-01,602000.0
2025-05-01,760000.0
2025-06-01,675300.0
2025-07-01,752400.0
2025-08-01,687000.0
2025-09-01,616000.0
2025-10-01,706500.0
2025-11-01,67000.0
